transaction_id,transaction_date,member_id,member_first_name,member_last_name,member_email,member_tier,member_join_date,member_city,member_state,store_name,store_city,store_state,store_region,book_id,isbn,title,genre,format,author_first,author_last,publisher_name,publisher_city,publisher_country,publication_year,list_price,quantity,discount_percent,sale_total
605,2021-10-04,92,Ethan,Allen,ethan.allen92@email.com,Platinum,2019-09-30,New York,WA,The Booksmith,San Francisco,CA,Pacific,101,978-114-82384-62-1,Signal Lost Vol. 5,Science Fiction,Paperback,Ocean,Vuong,Knopf,New York,USA,2014,33.12,1,0,33.12
606,2022-06-11,221,Iris,Green,iris.green221@email.com,Bronze,2015-11-04,New York,TX,BookPeople,Austin,TX,South,139,978-564-76263-87-6,Blood and Stone Vol. 3,Fantasy,Audiobook,Roxane,Gay,Scholastic,New York,USA,2021,42.81,1,15,36.39
607,2020-06-14,227,Blake,Lewis,blake.lewis227@email.com,Silver,2021-12-11,San Francisco,MA,Left Bank Books,St. Louis,MO,Midwest,234,978-202-99285-27-0,Turning Points Vol. 2,History,Hardcover,Delia,Owens,Hachette Book Group,New York,USA,2015,12.4,1,0,12.4
608,2023-01-30,37,Xander,Garcia,xander.garcia37@email.com,Gold,2015-03-08,Asheville,FL,Books & Books,Coral Gables,FL,South,19,978-652-36365-49-6,A Thousand Tomorrows Vol. 3,Fiction,eBook,Roxane,Gay,Simon & Schuster,New York,USA,2018,26.93,2,0,53.86
609,2022-08-30,255,Hector,Thomas,hector.thomas255@email.com,Silver,2018-08-01,San Francisco,NY,Tattered Cover,Denver,CO,Mountain,5,978-227-59615-20-8,The Quiet Hours Vol. 5,Fiction,eBook,Mary,Oliver,Scholastic,New York,USA,2019,36.43,1,15,30.97
610,2021-03-10,20,Nadia,Young,nadia.young20@email.com,Bronze,2020-07-23,Menlo Park,CA,The Booksmith,San Francisco,CA,Pacific,239,978-266-70150-92-4,Turning Points Vol. 7,History,Audiobook,N.K.,Jemisin,Simon & Schuster,New York,USA,2008,18.27,1,0,18.27
611,2022-03-22,169,Tara,Thompson,tara.thompson169@email.com,Platinum,2017-02-11,Cambridge,CA,Prairie Lights,Iowa City,IA,Midwest,180,978-877-71487-67-9,The Long Road Vol. 4,Biography,eBook,James,Patterson,Penguin Random House,New York,USA,2020,40.18,3,0,120.54
612,2021-06-12,252,Wren,Robinson,wren.robinson252@email.com,Bronze,2019-05-23,Denver,FL,Elliot Bay Book Co,Seattle,WA,Pacific,182,978-529-93748-89-7,The Long Road Vol. 6,Biography,Paperback,Celeste,Ng,Macmillan Publishers,New York,USA,2006,19.23,3,5,54.81
613,2020-04-07,36,Lila,Anderson,lila.anderson36@email.com,Bronze,2019-08-23,Coral Gables,TX,Malaprop's Bookstore,Asheville,NC,South,200,978-830-68341-21-5,In Their Own Words Vol. 8,Biography,Paperback,Michelle,Obama,HarperCollins,New York,USA,2019,37.99,2,0,75.98
614,2022-03-07,247,Kenji,Taylor,kenji.taylor247@email.com,Silver,2018-08-14,Denver,MO,The Strand,New York,NY,Northeast,245,978-565-89395-57-6,Your Best Self Vol. 5,Self-Help,Paperback,Lauren,Groff,Hachette Book Group,New York,USA,2020,41.54,2,10,74.78
615,2019-04-24,156,Carlos,Garcia,carlos.garcia156@email.com,Silver,2021-08-28,Asheville,CA,Prairie Lights,Iowa City,IA,Midwest,86,978-671-64548-87-9,Orbit Zero Vol. 6,Science Fiction,eBook,Sally,Rooney,Knopf,New York,USA,2012,11.89,3,15,30.33
616,2023-10-14,188,Lila,Williams,lila.williams188@email.com,Silver,2020-08-08,Menlo Park,CO,Malaprop's Bookstore,Asheville,NC,South,24,978-789-95649-92-1,A Thousand Tomorrows Vol. 8,Fiction,eBook,Zadie,Smith,Bloomsbury,London,UK,2019,23.39,1,0,23.39
617,2022-08-19,236,Alex,Scott,alex.scott236@email.com,Silver,2015-08-18,Coral Gables,IA,Harvard Book Store,Cambridge,MA,Northeast,216,978-697-56254-16-0,Empire Rising Vol. 8,History,Audiobook,Stephen,King,HarperCollins,New York,USA,2012,26.18,1,0,26.18
618,2022-09-15,21,Victor,Jackson,victor.jackson21@email.com,Gold,2020-11-18,St. Louis,IA,Prairie Lights,Iowa City,IA,Midwest,142,978-669-17861-85-8,Blood and Stone Vol. 6,Fantasy,Hardcover,Erik,Larson,HarperCollins,New York,USA,2016,23.67,2,0,47.34
619,2022-07-15,200,Drew,White,drew.white200@email.com,Silver,2015-04-08,Asheville,CA,The Strand,New York,NY,Northeast,179,978-959-95191-52-2,The Long Road Vol. 3,Biography,eBook,Gillian,Flynn,HarperCollins,New York,USA,2015,16.62,2,15,28.26
620,2021-06-15,44,Alex,Baker,alex.baker44@email.com,Bronze,2015-11-01,Portland,IA,The Booksmith,San Francisco,CA,Pacific,125,978-791-40647-70-0,The Iron Crown Vol. 5,Fantasy,Audiobook,Ta-Nehisi,Coates,Macmillan Publishers,New York,USA,2016,36.95,1,15,31.41
621,2019-02-21,19,Blake,Young,blake.young19@email.com,Silver,2021-08-20,San Francisco,CA,BookPeople,Austin,TX,South,36,978-370-25129-23-8,Edge of Home Vol. 4,Fiction,eBook,Stephen,King,Farrar Straus Giroux,New York,USA,2008,40.67,3,15,103.71
622,2019-05-10,251,Wren,Taylor,wren.taylor251@email.com,Silver,2016-06-05,St. Louis,OR,Prairie Lights,Iowa City,IA,Midwest,62,978-871-61116-63-8,No Trace Found Vol. 6,Mystery,Audiobook,Mary,Oliver,Knopf,New York,USA,2016,25.21,3,20,60.51
623,2021-12-29,158,Wren,Garcia,wren.garcia158@email.com,Bronze,2020-05-10,Austin,IA,Elliot Bay Book Co,Seattle,WA,Pacific,165,978-636-78517-88-2,A Life Remembered Vol. 5,Biography,Paperback,David,Sedaris,HarperCollins,New York,USA,2019,10.32,2,20,16.52
624,2020-11-25,9,Xander,Young,xander.young9@email.com,Platinum,2019-10-04,Austin,TX,Powell's Books,Portland,OR,Pacific,248,978-219-99167-36-9,Your Best Self Vol. 8,Self-Help,Paperback,Anthony,Doerr,Farrar Straus Giroux,New York,USA,2021,14.58,2,0,29.16
625,2019-08-31,22,Nadia,Garcia,nadia.garcia22@email.com,Platinum,2018-05-13,Denver,NC,Prairie Lights,Iowa City,IA,Midwest,202,978-342-74752-13-5,The Forgotten War Vol. 2,History,Paperback,Sally,Rooney,Scholastic,New York,USA,2011,13.12,3,0,39.36
626,2022-10-20,268,Xander,King,xander.king268@email.com,Gold,2021-01-21,San Francisco,MA,Elliot Bay Book Co,Seattle,WA,Pacific,171,978-889-80748-77-0,Against All Odds Vol. 3,Biography,Hardcover,James,Patterson,Simon & Schuster,New York,USA,2008,19.05,3,20,45.72
627,2019-05-28,297,James,King,james.king297@email.com,Gold,2019-12-20,Cambridge,MO,BookPeople,Austin,TX,South,39,978-674-11267-24-1,Edge of Home Vol. 7,Fiction,Paperback,Ocean,Vuong,Macmillan Publishers,New York,USA,2022,34.19,3,0,102.57
628,2019-02-09,251,Wren,Taylor,wren.taylor251@email.com,Silver,2016-06-05,St. Louis,OR,The Booksmith,San Francisco,CA,Pacific,37,978-803-93130-43-8,Edge of Home Vol. 5,Fiction,eBook,James,Patterson,Macmillan Publishers,New York,USA,2015,29.55,3,5,84.21
629,2022-08-21,125,Priya,White,priya.white125@email.com,Platinum,2022-12-18,Seattle,CO,Left Bank Books,St. Louis,MO,Midwest,12,978-605-21915-16-1,Between Two Worlds Vol. 4,Fiction,Audiobook,Haruki,Murakami,Knopf,New York,USA,2009,21.3,1,0,21.3
630,2023-08-08,26,Kenji,Walker,kenji.walker26@email.com,Platinum,2015-11-20,Menlo Park,NY,Harvard Book Store,Cambridge,MA,Northeast,45,978-385-56025-92-8,The Last Clue Vol. 5,Mystery,Audiobook,Zadie,Smith,Hachette Book Group,New York,USA,2007,20.15,1,20,16.12
631,2019-05-11,88,Drew,Robinson,drew.robinson88@email.com,Silver,2017-03-29,San Francisco,NC,Books & Books,Coral Gables,FL,South,117,978-342-59986-83-5,First Contact Vol. 5,Science Fiction,Paperback,Patrick,Rothfuss,Macmillan Publishers,New York,USA,2020,42.97,1,20,34.38
632,2023-06-25,255,Hector,Thomas,hector.thomas255@email.com,Silver,2018-08-01,San Francisco,NY,Books & Books,Coral Gables,FL,South,30,978-973-79615-30-0,The Glass Garden Vol. 6,Fiction,Hardcover,Isabel,Allende,Scholastic,New York,USA,2020,10.69,1,10,9.62
633,2020-11-21,104,Diana,Harris,diana.harris104@email.com,Platinum,2023-02-05,Menlo Park,NY,Prairie Lights,Iowa City,IA,Midwest,17,978-345-17592-40-9,A Thousand Tomorrows,Fiction,Hardcover,Chimamanda,Adichie,Vintage Books,New York,USA,2016,12.79,3,20,30.69
634,2019-09-05,206,Sam,Jones,sam.jones206@email.com,Silver,2020-09-01,San Francisco,IA,Kepler's Books,Menlo Park,CA,Pacific,174,978-476-98907-83-7,Against All Odds Vol. 6,Biography,eBook,Roxane,Gay,Hachette Book Group,New York,USA,2020,41.82,3,15,106.65
635,2023-09-10,71,Zoe,Walker,zoe.walker71@email.com,Platinum,2016-09-23,Menlo Park,CA,Kepler's Books,Menlo Park,CA,Pacific,140,978-447-69441-61-6,Blood and Stone Vol. 4,Fantasy,Paperback,Celeste,Ng,HarperCollins,New York,USA,2012,23.61,1,20,18.89
636,2019-12-22,24,Zoe,Harris,zoe.harris24@email.com,Platinum,2015-08-25,Iowa City,NC,Books & Books,Coral Gables,FL,South,196,978-897-94562-56-5,In Their Own Words Vol. 4,Biography,Audiobook,James,Patterson,Knopf,New York,USA,2007,10.17,1,0,10.17
637,2023-04-01,141,Sam,Walker,sam.walker141@email.com,Platinum,2018-01-05,Iowa City,WA,Tattered Cover,Denver,CO,Mountain,31,978-513-25713-82-3,The Glass Garden Vol. 7,Fiction,Paperback,Andy,Weir,HarperCollins,New York,USA,2007,11.32,1,5,10.75
638,2019-12-04,190,Quinn,Johnson,quinn.johnson190@email.com,Bronze,2015-06-30,Austin,OR,Malaprop's Bookstore,Asheville,NC,South,179,978-959-95191-52-2,The Long Road Vol. 3,Biography,eBook,Gillian,Flynn,HarperCollins,New York,USA,2015,16.62,1,5,15.79
639,2019-10-01,298,Nadia,Lewis,nadia.lewis298@email.com,Bronze,2022-03-29,Austin,WA,Powell's Books,Portland,OR,Pacific,237,978-290-47941-14-0,Turning Points Vol. 5,History,Hardcover,Haruki,Murakami,Simon & Schuster,New York,USA,2017,42.89,3,0,128.67
640,2019-02-02,193,Hector,White,hector.white193@email.com,Gold,2023-01-29,Cambridge,NY,Tattered Cover,Denver,CO,Mountain,157,978-897-32037-19-8,Emberfall Vol. 5,Fantasy,eBook,Malcolm,Gladwell,Bloomsbury,London,UK,2012,34.35,1,5,32.63
641,2019-07-02,4,Xander,Walker,xander.walker4@email.com,Gold,2019-09-18,Iowa City,WA,Tattered Cover,Denver,CO,Mountain,2,978-338-76237-87-0,The Quiet Hours Vol. 2,Fiction,Audiobook,Malcolm,Gladwell,Knopf,New York,USA,2007,10.07,3,15,25.68
642,2022-11-21,146,Alex,Davis,alex.davis146@email.com,Gold,2020-07-19,Menlo Park,MA,Prairie Lights,Iowa City,IA,Midwest,152,978-396-53007-25-0,The Last Mage Vol. 8,Fantasy,eBook,Stephen,King,Hachette Book Group,New York,USA,2009,41.13,2,20,65.8
643,2019-10-21,65,Lila,Williams,lila.williams65@email.com,Platinum,2016-02-05,Austin,NY,BookPeople,Austin,TX,South,178,978-505-75799-57-3,The Long Road Vol. 2,Biography,eBook,Erik,Larson,Vintage Books,New York,USA,2018,40.63,2,15,69.08
644,2020-05-04,231,Zoe,Johnson,zoe.johnson231@email.com,Gold,2019-04-16,Seattle,NC,Prairie Lights,Iowa City,IA,Midwest,134,978-115-56955-40-9,Shadow Realm Vol. 6,Fantasy,Paperback,Roxane,Gay,Macmillan Publishers,New York,USA,2005,12.73,3,0,38.19
645,2020-01-04,20,Nadia,Young,nadia.young20@email.com,Bronze,2020-07-23,Menlo Park,CA,Books & Books,Coral Gables,FL,South,178,978-505-75799-57-3,The Long Road Vol. 2,Biography,eBook,Erik,Larson,Vintage Books,New York,USA,2018,40.63,2,15,69.08
646,2023-08-20,46,Ethan,Johnson,ethan.johnson46@email.com,Platinum,2017-06-14,Menlo Park,OR,The Booksmith,San Francisco,CA,Pacific,157,978-897-32037-19-8,Emberfall Vol. 5,Fantasy,eBook,Malcolm,Gladwell,Bloomsbury,London,UK,2012,34.35,2,20,54.96
647,2022-02-16,215,Ethan,Brown,ethan.brown215@email.com,Silver,2022-12-22,Menlo Park,IA,Powell's Books,Portland,OR,Pacific,90,978-172-40595-43-9,The Outer Reaches Vol. 2,Science Fiction,Hardcover,N.K.,Jemisin,Macmillan Publishers,New York,USA,2014,16.86,1,0,16.86
648,2022-06-21,272,Tara,Martin,tara.martin272@email.com,Bronze,2017-03-28,Portland,TX,The Strand,New York,NY,Northeast,31,978-513-25713-82-3,The Glass Garden Vol. 7,Fiction,Paperback,Andy,Weir,HarperCollins,New York,USA,2007,11.32,3,0,33.96
649,2023-04-27,113,Lila,Anderson,lila.anderson113@email.com,Platinum,2017-03-18,New York,MA,Elliot Bay Book Co,Seattle,WA,Pacific,130,978-760-57012-17-6,Shadow Realm Vol. 2,Fantasy,eBook,Patrick,Rothfuss,Hachette Book Group,New York,USA,2016,12.37,3,15,31.53
650,2020-02-01,142,Carlos,Walker,carlos.walker142@email.com,Platinum,2016-01-17,Asheville,MO,Powell's Books,Portland,OR,Pacific,54,978-524-92544-83-3,Dead by Dawn Vol. 6,Mystery,Audiobook,Toni,Morrison,Hachette Book Group,New York,USA,2007,29.77,1,0,29.77
651,2019-12-28,243,Grace,Scott,grace.scott243@email.com,Gold,2016-06-18,St. Louis,CO,Elliot Bay Book Co,Seattle,WA,Pacific,176,978-205-77621-25-4,Against All Odds Vol. 8,Biography,Hardcover,Mary,Oliver,Macmillan Publishers,New York,USA,2016,30.79,3,0,92.37
652,2022-08-13,23,Priya,Wilson,priya.wilson23@email.com,Gold,2017-07-12,St. Louis,CO,Powell's Books,Portland,OR,Pacific,237,978-290-47941-14-0,Turning Points Vol. 5,History,Hardcover,Haruki,Murakami,Simon & Schuster,New York,USA,2017,42.89,2,0,85.78
653,2020-11-15,223,Diana,Williams,diana.williams223@email.com,Bronze,2020-03-03,Denver,FL,Harvard Book Store,Cambridge,MA,Northeast,54,978-524-92544-83-3,Dead by Dawn Vol. 6,Mystery,Audiobook,Toni,Morrison,Hachette Book Group,New York,USA,2007,29.77,2,10,53.58
654,2019-04-18,54,Wren,Wilson,wren.wilson54@email.com,Bronze,2018-05-13,San Francisco,CA,Left Bank Books,St. Louis,MO,Midwest,12,978-605-21915-16-1,Between Two Worlds Vol. 4,Fiction,Audiobook,Haruki,Murakami,Knopf,New York,USA,2009,21.3,1,10,19.17
655,2021-11-20,15,Yara,Baker,yara.baker15@email.com,Silver,2015-08-20,Asheville,MA,Elliot Bay Book Co,Seattle,WA,Pacific,41,978-782-23473-55-8,The Last Clue,Mystery,Hardcover,Jhumpa,Lahiri,Scholastic,New York,USA,2011,39.55,1,0,39.55
656,2021-06-29,121,Uma,Young,uma.young121@email.com,Silver,2022-10-11,Asheville,CO,Left Bank Books,St. Louis,MO,Midwest,230,978-591-55718-81-4,The Lost Century Vol. 6,History,Paperback,Richard,Osman,Macmillan Publishers,New York,USA,2020,32.46,3,10,87.63
657,2023-03-11,215,Ethan,Brown,ethan.brown215@email.com,Silver,2022-12-22,Menlo Park,IA,BookPeople,Austin,TX,South,84,978-288-16734-42-7,Orbit Zero Vol. 4,Science Fiction,eBook,Celeste,Ng,Penguin Random House,New York,USA,2019,24.95,2,15,42.42
658,2020-04-11,57,Carlos,Martin,carlos.martin57@email.com,Gold,2019-11-13,Coral Gables,NY,Kepler's Books,Menlo Park,CA,Pacific,59,978-378-54020-50-8,No Trace Found Vol. 3,Mystery,eBook,Ocean,Vuong,Hachette Book Group,New York,USA,2014,23.95,1,0,23.95
659,2021-02-08,212,Nadia,Jones,nadia.jones212@email.com,Gold,2021-01-04,Austin,WA,BookPeople,Austin,TX,South,189,978-423-50642-75-6,Becoming More Vol. 5,Biography,Paperback,Toni,Morrison,Macmillan Publishers,New York,USA,2011,10.48,1,0,10.48
660,2019-04-22,300,Alex,Williams,alex.williams300@email.com,Silver,2020-10-11,New York,MA,Elliot Bay Book Co,Seattle,WA,Pacific,121,978-402-52823-63-2,The Iron Crown,Fantasy,Hardcover,Jhumpa,Lahiri,Vintage Books,New York,USA,2009,28.7,1,5,27.26
661,2021-03-04,233,Fatima,Johnson,fatima.johnson233@email.com,Silver,2018-07-30,Portland,MA,Tattered Cover,Denver,CO,Mountain,56,978-968-25906-68-2,Dead by Dawn Vol. 8,Mystery,Audiobook,Delia,Owens,Simon & Schuster,New York,USA,2012,10.7,1,0,10.7
662,2021-01-04,100,Marcus,Harris,marcus.harris100@email.com,Silver,2022-08-15,Menlo Park,OR,The Booksmith,San Francisco,CA,Pacific,118,978-108-84177-97-0,First Contact Vol. 6,Science Fiction,eBook,Anthony,Doerr,Macmillan Publishers,New York,USA,2017,9.74,1,0,9.74
663,2022-11-18,66,Kenji,Lewis,kenji.lewis66@email.com,Platinum,2021-11-19,Menlo Park,OR,Powell's Books,Portland,OR,Pacific,86,978-671-64548-87-9,Orbit Zero Vol. 6,Science Fiction,eBook,Sally,Rooney,Knopf,New York,USA,2012,11.89,1,10,10.7
664,2023-10-11,70,Carlos,Brown,carlos.brown70@email.com,Silver,2018-01-02,Iowa City,MO,The Strand,New York,NY,Northeast,72,978-170-76317-92-5,The Cold Case Vol. 8,Mystery,Hardcover,Sally,Rooney,HarperCollins,New York,USA,2018,20.79,2,5,39.5
665,2020-03-26,88,Drew,Robinson,drew.robinson88@email.com,Silver,2017-03-29,San Francisco,NC,Kepler's Books,Menlo Park,CA,Pacific,108,978-990-23154-66-1,Nova Protocol Vol. 4,Science Fiction,Paperback,N.K.,Jemisin,Penguin Random House,New York,USA,2023,26.07,3,0,78.21
666,2022-02-06,88,Drew,Robinson,drew.robinson88@email.com,Silver,2017-03-29,San Francisco,NC,Books & Books,Coral Gables,FL,South,41,978-782-23473-55-8,The Last Clue,Mystery,Hardcover,Jhumpa,Lahiri,Scholastic,New York,USA,2011,39.55,1,20,31.64
667,2021-09-28,211,Ethan,Jones,ethan.jones211@email.com,Platinum,2016-11-04,Seattle,CA,Malaprop's Bookstore,Asheville,NC,South,23,978-516-34957-22-1,A Thousand Tomorrows Vol. 7,Fiction,Audiobook,James,Patterson,Knopf,New York,USA,2020,17.25,1,20,13.8
668,2020-07-25,243,Grace,Scott,grace.scott243@email.com,Gold,2016-06-18,St. Louis,CO,Elliot Bay Book Co,Seattle,WA,Pacific,152,978-396-53007-25-0,The Last Mage Vol. 8,Fantasy,eBook,Stephen,King,Hachette Book Group,New York,USA,2009,41.13,3,0,123.39
669,2020-11-01,127,Iris,Wilson,iris.wilson127@email.com,Gold,2021-01-11,Denver,WA,BookPeople,Austin,TX,South,110,978-790-79942-58-5,Nova Protocol Vol. 6,Science Fiction,Audiobook,Chimamanda,Adichie,Knopf,New York,USA,2015,31.08,3,5,88.59
670,2019-01-11,77,Marcus,Wright,marcus.wright77@email.com,Silver,2015-12-13,Coral Gables,NC,Books & Books,Coral Gables,FL,South,57,978-934-76162-64-8,No Trace Found,Mystery,eBook,Sally,Rooney,Vintage Books,New York,USA,2019,41.29,1,5,39.23
671,2023-04-24,241,Blake,Brown,blake.brown241@email.com,Silver,2015-08-19,Coral Gables,TX,Left Bank Books,St. Louis,MO,Midwest,11,978-651-44438-84-6,Between Two Worlds Vol. 3,Fiction,Paperback,Gillian,Flynn,Vintage Books,New York,USA,2012,18.0,1,10,16.2
672,2021-09-08,272,Tara,Martin,tara.martin272@email.com,Bronze,2017-03-28,Portland,TX,Prairie Lights,Iowa City,IA,Midwest,109,978-258-19807-70-4,Nova Protocol Vol. 5,Science Fiction,Hardcover,Andy,Weir,Vintage Books,New York,USA,2018,33.55,3,20,80.52
673,2021-10-11,51,Drew,Jones,drew.jones51@email.com,Silver,2020-11-17,Austin,TX,Elliot Bay Book Co,Seattle,WA,Pacific,211,978-161-30719-66-6,Empire Rising Vol. 3,History,Audiobook,N.K.,Jemisin,Hachette Book Group,New York,USA,2007,19.1,1,0,19.1
674,2023-02-07,7,Rosa,Jackson,rosa.jackson7@email.com,Silver,2020-12-06,St. Louis,TX,Left Bank Books,St. Louis,MO,Midwest,143,978-394-88696-49-5,Blood and Stone Vol. 7,Fantasy,Hardcover,Roxane,Gay,Scholastic,New York,USA,2018,22.96,1,5,21.81
675,2020-05-04,184,Lila,Thompson,lila.thompson184@email.com,Gold,2020-10-19,Denver,CA,Harvard Book Store,Cambridge,MA,Northeast,34,978-371-27361-54-1,Edge of Home Vol. 2,Fiction,Hardcover,Stephen,King,Vintage Books,New York,USA,2011,11.48,1,15,9.76
676,2020-09-16,246,Carlos,Thomas,carlos.thomas246@email.com,Platinum,2022-11-25,Coral Gables,NY,The Booksmith,San Francisco,CA,Pacific,5,978-227-59615-20-8,The Quiet Hours Vol. 5,Fiction,eBook,Mary,Oliver,Scholastic,New York,USA,2019,36.43,3,0,109.29
677,2022-04-10,293,Iris,Jackson,iris.jackson293@email.com,Platinum,2016-08-12,Portland,IA,Left Bank Books,St. Louis,MO,Midwest,118,978-108-84177-97-0,First Contact Vol. 6,Science Fiction,eBook,Anthony,Doerr,Macmillan Publishers,New York,USA,2017,9.74,2,0,19.48
678,2021-04-10,71,Zoe,Walker,zoe.walker71@email.com,Platinum,2016-09-23,Menlo Park,CA,Left Bank Books,St. Louis,MO,Midwest,119,978-918-40162-87-5,First Contact Vol. 7,Science Fiction,Audiobook,Min Jin,Lee,Knopf,New York,USA,2014,37.31,2,0,74.62
679,2022-07-21,238,Kenji,Scott,kenji.scott238@email.com,Gold,2022-10-28,Coral Gables,OR,Left Bank Books,St. Louis,MO,Midwest,161,978-705-17362-55-8,A Life Remembered,Biography,Hardcover,James,Patterson,Vintage Books,New York,USA,2014,24.93,3,0,74.79
680,2020-11-12,198,Zoe,Taylor,zoe.taylor198@email.com,Silver,2021-12-25,Seattle,CA,Left Bank Books,St. Louis,MO,Midwest,19,978-652-36365-49-6,A Thousand Tomorrows Vol. 3,Fiction,eBook,Roxane,Gay,Simon & Schuster,New York,USA,2018,26.93,1,10,24.24
681,2022-11-30,219,Alex,Wright,alex.wright219@email.com,Silver,2017-06-29,Austin,IA,Harvard Book Store,Cambridge,MA,Northeast,76,978-599-37802-55-4,Shadows Remain Vol. 4,Mystery,eBook,Zadie,Smith,Bloomsbury,London,UK,2015,9.97,3,10,26.91
682,2019-06-15,107,Quinn,Miller,quinn.miller107@email.com,Silver,2021-03-10,Menlo Park,NC,The Booksmith,San Francisco,CA,Pacific,148,978-895-84395-86-1,The Last Mage Vol. 4,Fantasy,eBook,Donna,Tartt,Vintage Books,New York,USA,2014,14.34,2,10,25.82
683,2022-10-13,29,Zoe,Wright,zoe.wright29@email.com,Silver,2021-08-03,Seattle,TX,Malaprop's Bookstore,Asheville,NC,South,189,978-423-50642-75-6,Becoming More Vol. 5,Biography,Paperback,Toni,Morrison,Macmillan Publishers,New York,USA,2011,10.48,1,0,10.48
684,2021-08-11,197,Omar,Johnson,omar.johnson197@email.com,Silver,2019-02-20,Cambridge,FL,Kepler's Books,Menlo Park,CA,Pacific,29,978-159-85914-79-0,The Glass Garden Vol. 5,Fiction,Audiobook,David,Sedaris,Farrar Straus Giroux,New York,USA,2014,14.25,1,10,12.82
685,2022-08-20,188,Lila,Williams,lila.williams188@email.com,Silver,2020-08-08,Menlo Park,CO,Tattered Cover,Denver,CO,Mountain,94,978-701-12719-96-4,The Outer Reaches Vol. 6,Science Fiction,eBook,Isabel,Allende,Scholastic,New York,USA,2012,9.87,3,10,26.64
686,2023-05-04,288,Marcus,Young,marcus.young288@email.com,Gold,2018-08-28,Asheville,WA,Left Bank Books,St. Louis,MO,Midwest,18,978-228-26828-94-7,A Thousand Tomorrows Vol. 2,Fiction,Audiobook,Malcolm,Gladwell,HarperCollins,New York,USA,2022,36.73,1,0,36.73
687,2019-08-21,123,Tara,Williams,tara.williams123@email.com,Bronze,2019-01-10,Seattle,CO,Malaprop's Bookstore,Asheville,NC,South,86,978-671-64548-87-9,Orbit Zero Vol. 6,Science Fiction,eBook,Sally,Rooney,Knopf,New York,USA,2012,11.89,2,15,20.22
688,2020-03-05,298,Nadia,Lewis,nadia.lewis298@email.com,Bronze,2022-03-29,Austin,WA,Left Bank Books,St. Louis,MO,Midwest,189,978-423-50642-75-6,Becoming More Vol. 5,Biography,Paperback,Toni,Morrison,Macmillan Publishers,New York,USA,2011,10.48,3,20,25.14
689,2020-12-23,116,Bailey,Harris,bailey.harris116@email.com,Silver,2021-12-03,San Francisco,MO,Kepler's Books,Menlo Park,CA,Pacific,195,978-625-99051-30-0,In Their Own Words Vol. 3,Biography,Hardcover,Donna,Tartt,Macmillan Publishers,New York,USA,2017,11.54,3,0,34.62
690,2019-04-22,217,Amara,Jackson,amara.jackson217@email.com,Silver,2020-01-27,New York,WA,Harvard Book Store,Cambridge,MA,Northeast,175,978-936-36174-87-2,Against All Odds Vol. 7,Biography,Audiobook,Patrick,Rothfuss,Macmillan Publishers,New York,USA,2018,26.09,2,0,52.18
691,2021-10-23,232,Zoe,Martin,zoe.martin232@email.com,Gold,2018-11-10,Iowa City,MA,Elliot Bay Book Co,Seattle,WA,Pacific,89,978-518-69048-98-9,The Outer Reaches,Science Fiction,Paperback,Colson,Whitehead,Hachette Book Group,New York,USA,2010,27.76,1,10,24.98
692,2023-08-18,273,Fatima,Walker,fatima.walker273@email.com,Bronze,2018-04-10,Seattle,NY,The Booksmith,San Francisco,CA,Pacific,121,978-402-52823-63-2,The Iron Crown,Fantasy,Hardcover,Jhumpa,Lahiri,Vintage Books,New York,USA,2009,28.7,2,10,51.66
693,2022-11-20,189,Iris,Wright,iris.wright189@email.com,Bronze,2016-02-26,Austin,MO,The Booksmith,San Francisco,CA,Pacific,116,978-754-65615-98-4,First Contact Vol. 4,Science Fiction,Audiobook,Colson,Whitehead,HarperCollins,New York,USA,2023,41.13,1,20,32.9
694,2019-06-14,235,Fatima,Jones,fatima.jones235@email.com,Silver,2017-10-12,Cambridge,NC,The Strand,New York,NY,Northeast,49,978-421-96951-25-4,Dead by Dawn,Mystery,Hardcover,Ta-Nehisi,Coates,Bloomsbury,London,UK,2015,41.25,1,5,39.19
695,2019-12-04,40,Uma,Hall,uma.hall40@email.com,Gold,2018-10-14,Seattle,MO,The Strand,New York,NY,Northeast,74,978-576-67091-85-4,Shadows Remain Vol. 2,Mystery,eBook,Colson,Whitehead,Farrar Straus Giroux,New York,USA,2022,29.93,1,0,29.93
696,2019-11-05,76,Zoe,Anderson,zoe.anderson76@email.com,Bronze,2019-04-27,Cambridge,IA,Elliot Bay Book Co,Seattle,WA,Pacific,179,978-959-95191-52-2,The Long Road Vol. 3,Biography,eBook,Gillian,Flynn,HarperCollins,New York,USA,2015,16.62,1,20,13.3
697,2021-05-03,12,Hector,Davis,hector.davis12@email.com,Bronze,2015-10-03,Coral Gables,OR,Harvard Book Store,Cambridge,MA,Northeast,134,978-115-56955-40-9,Shadow Realm Vol. 6,Fantasy,Paperback,Roxane,Gay,Macmillan Publishers,New York,USA,2005,12.73,3,15,32.46
698,2020-12-11,68,Rosa,Jackson,rosa.jackson68@email.com,Silver,2019-11-04,San Francisco,FL,Elliot Bay Book Co,Seattle,WA,Pacific,239,978-266-70150-92-4,Turning Points Vol. 7,History,Audiobook,N.K.,Jemisin,Simon & Schuster,New York,USA,2008,18.27,2,5,34.72
